Filesystem  1K-blocks     Used     Avail     %Cap  Mounted on
filer:/     1202716672   135168 1202581504     0%    /filer
filer:/     1202716672        0 1202716672     0%    /filer
filer:/     1202716672 240543334 962173337    20%    /filer
filer:/     1202716672 721630003 481086668    60%    /filer
filer:/     1202716672 1142580838  60135833    95%    /filer
filer:/     1202716672 1202716672         0   100%    /filer
filer:/     1202716672        0 1142580838     0%    /filer
filer:/     1202716672 240543334 902037504    21%    /filer
filer:/     1202716672 721630003 420950835    63%    /filer
filer:/     1202716672 1142580838         0   100%    /filer
filer:/     1202716672 1202716672 -60135833   105%    /filer
filer:/     1202716672        0 1082445004     0%    /filer
filer:/     1202716672 240543334 841901670    22%    /filer
filer:/     1202716672 721630003 360815001    66%    /filer
filer:/     1202716672 1142580838 -60135833   105%    /filer
filer:/     1202716672 1202716672 -120271667   111%    /filer
filer:/     1202716672        0 1022309171     0%    /filer
filer:/     1202716672 240543334 781765836    23%    /filer
filer:/     1202716672 721630003 300679168    70%    /filer
filer:/     1202716672 1142580838 -120271667   111%    /filer
filer:/     1202716672 1202716672 -180407500   117%    /filer
/dev/ld0g   1308726116 17901268 1225388540     1%    /anon-root
/dev/ld0g   1308726116        0 1308726116     0%    /anon-root
/dev/ld0g   1308726116 261745224 1046980892    20%    /anon-root
/dev/ld0g   1308726116 785235672 523490444    60%    /anon-root
/dev/ld0g   1308726116 1243289812  65436304    95%    /anon-root
/dev/ld0g   1308726116 1308726116         0   100%    /anon-root
/dev/ld0g   1308726116        0 1243289808     0%    /anon-root
/dev/ld0g   1308726116 261745224 981544584    21%    /anon-root
/dev/ld0g   1308726116 785235672 458054140    63%    /anon-root
/dev/ld0g   1308726116 1243289812         0   100%    /anon-root
/dev/ld0g   1308726116 1308726116 -65436304   105%    /anon-root
/dev/ld0g   1308726116        0 1177853504     0%    /anon-root
/dev/ld0g   1308726116 261745224 916108280    22%    /anon-root
/dev/ld0g   1308726116 785235672 392617832    66%    /anon-root
/dev/ld0g   1308726116 1243289812 -65436304   105%    /anon-root
/dev/ld0g   1308726116 1308726116 -130872608   111%    /anon-root
/dev/ld0g   1308726116        0 1112417196     0%    /anon-root
/dev/ld0g   1308726116 261745224 850671972    23%    /anon-root
/dev/ld0g   1308726116 785235672 327181528    70%    /anon-root
/dev/ld0g   1308726116 1243289812 -130872608   111%    /anon-root
/dev/ld0g   1308726116 1308726116 -196308916   117%    /anon-root
/dev/strpct 21474836476 10737418240 10737418236    50%    /strpct
/dev/wd0e    10485688  2859932   7625756    27%    /mount/windows/C
